page|sector|goal_text|source_doc
261|Education|of Secondary Man power, of an independent day GRZ, Infrastructure schools constructed machinery, independent secondary school at Kasanda Malombe Cooperating MOE development at Kasanda building 8,000,000 school Kasanda Malombe partners Malombe matrerials structure primary school Enhance access Man power, to safe Water Construction of GRZ, Infrastructure No.|IDP_MAIN
261|Water and Sanitation|partners matrerials schools Enhance access to safe Water Drilling of boreholes Man power, GRZ, Infrastructure No.|IDP_MAIN
262|Water and Sanitation|Improve sanitation coverage from 70% to 90% by 2027, Objectives Increase solid waste collection and disposal from 40% to 70% by 2027 Recycle 25% of all solid waste collected by 2027 Pollen (1), Njanji Maintenance Maintenance/ (1), Kachulu (1), No.|IDP_MAIN
280|Environment|Agency/Dept (ZMW) Source funds Objective To reduce the rate of deforestation from by the end of 2027 Development of integrated natural Development of Stationary, resource Forestry Integrated Natural No.|IDP_MAIN
281|Governance|To reduce deforestation Stationary, through Forestry Establishment of 500 All Wards No.|IDP_MAIN
281|Governance|woodlots Fuel, 105,000 FD, KMC, GRZ Forestry Department establishment of management woodlots by 2026 created Human 500 woodlots by resource 2026 To reduce deforestation Forestry Establishment of 100 Stationary, through management agroforestry plots All Wards No.|IDP_MAIN
281|Governance|of plots Fuel, 98,000 FD, KMC, GRZ Forestry Department establishment of created Human 100 agroforestry resource plots by 2026 To reduce deforestation Forestry Establishment of 10 Stationary, through management fruit orchards by 2026 All Wards No.|IDP_MAIN
281|Governance|of orchards Fuel, 350,000 FD, KMC, GRZ Forestry Department establishment of created Human 10 fruit orchards resource by 2026 To reduce deforestation Plantation Stationary, through establishment Establishment of 10 All Wards No.|IDP_MAIN
281|Environment|of tree Fuel, FD, KMC, GRZ Forestry Department establishment of nurseries and tree nurseries Human 450,000 10 tree nurseries created management resource establishment by 2026 To reduce deforestation by Forestry Restocking and No.|IDP_MAIN
281|Environment|Fuel, 450,000 FD, KMC, GRZ Forestry Department managing 2, 000 of trees planted Human gazetted forests ha of gazetted resource forests To reduce deforestation by Forestry Conducting 45 No.|IDP_MAIN
281|Governance|of Stationary, conducting 45 management Community All Wards trainings Fuel, 85,000 FD, KMC, GRZ Forestry Department Community mobilization and Human conducted mobilization and sensitization meeting resource sensitization To reduce deforestation Forestry Formation of 25 No.|IDP_MAIN
282|Governance|Forestry Stationary, To reduce Forestry Conduct 25 Trainings All Wards No.|IDP_MAIN
283|Environment|of KMC, Forestry, Education on industries on proper Fuel, All Wards sensitization Meteorological KMC, Forestry, Chemical waste and safe chemical Human 45,000 meetings Department management waste management resource Objective To promote sustainable environment and natural resource management by the end of 2027 To conduct 59 Stationary, Forest communities No.|IDP_MAIN
290|Governance|The five-year financial plan is a component of a comprehensive effort by the Council to improve its long‐range financial management and planning.|IDP_MAIN
290|Unknown|Financial planning uses forecasts to provide insight into future financial capacity so that strategies can be developed to achieve long-term sustainability in light of the government’s service objectives and financial challenges.|IDP_MAIN
295|Environment|For the purpose of realizing the vision of making the IDP area an inclusive and sound environment for all by 2030, all LAPs will ensure that proposals for the development of a LAP are prepared in accordance with the principles of the IDP.|IDP_MAIN
296|Unknown|At institutional level, institutions will undertake input monitoring to ensure that the targeted investments are made to produce planned outputs which are expected to generate development outcomes.|IDP_MAIN
296|Unknown|The reports will ensure that implementation progress does not stagnate or deviate from the intended development outcomes.|IDP_MAIN
311|Commerce|Promotion of Prep Number of meeting Entire prep Anuall stakeholder 2 Hold 0 1 2 KMC/KCCI District meeting y meetings with held private, expo 2025 , Hold Kabwe Expo preparatory Number of meetings to help prep meeting promote PPP and KMC 0 4 2 2 Qtrly KMC/KCCI held to business to promote business joint PP ventures.|IDP_MAIN
316|Education|Program Activities Location elin 2 2 2 2 2 2 2 3 3 3 Indicator Freq y e get 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 Agency/Dept Objec Enhance Access to Quality, Equitable and Inclusive Education By 2027 tives Impro No.|IDP_MAIN
319|Water and Sanitation|Improve sanitation coverage from 70% to 90% by 2027, Increase solid waste collection and disposal from 40% to 70% by 2027 Object Recycle 25% of all solid waste collected by 2027 ives Improve sanitation coverage from 70% to 90% by 2027, Increase solid waste collection and disposal from 40% to 70% by 2027 Mainte Pollen (1), nance Njanji (1), No.|IDP_MAIN
340|Environment|Table 62: District Monitoring and Evaluation Framework: -Environmental Sustainability (8NDP PILLAR 3) Locati Baseli Targ 3 4 5 6 7 8 9 0 1 2 Strategy Activities 2 2 2 2 2 2 2 3 3 3 Indicator Freq Responsible on ne et 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 Objective To reduce the rate of deforestation from by the end of 2027 Developme nt of integrated natural Development of resource Integrated No.|IDP_MAIN
341|Governance|of All Annua Forestry establishme 10 fruit orchards 0 10 2 2 2 2 2 orchards Wards l Department nt of 10 fruit by 2026 created orchards by 2026 To reduce deforestatio n through No.|IDP_MAIN
341|Environment|of tree establishme Establishment of All Annua Forestry 0 10 2 2 2 2 2 nurseries nt of 10 tree 10 tree nurseries Wards l Department created nurseries establishme nt by 2026 To reduce deforestatio n by Restocking and No.|IDP_MAIN
341|Governance|of All Forestry deforestatio mobilization and 0 45 9 9 9 9 9 trainings Qtrly Wards Department n by co sensitization conducted meeting Formation of 25 To reduce CFMG to practice All No.|IDP_MAIN
342|Agriculture|e e o d r f s Qtrly Agriculture Management Objective To enhance disaster risk reduction and response mechanisms by 2027 No.|IDP_MAIN
343|Environment|Objective To promote sustainable environment and natural resource management by the end of 2027 To conduct 59 communities Conduct No.|IDP_MAIN
344|Water and Sanitation|of Law preservation of 10 All recharge Month enforcemen water recharge 2 10 5 5 KMC, WARMA Wards points ly t points in the identified district Objective To remediate lead poisoning by 2027 To conduct tree/grass Former No of trees planting od 1500 Mine 0 1500 200 250 300 350 400 Qtrly KMC (ZMERIP) planted plants in the Areas Remediate district lead poisoning Conduct 50 Former No.|IDP_MAIN
346|Unknown|Centre, Indeni grounds Rehabilitati Number of on and sports maintenanc Clayton Annua 0 1 1 facilities e of Park l rehabilitat recreation ed facilities Objectives To provide adequate and affordable land for 2500 plots by 2027 Kangomba To alienate , Enhance land for No of Creation of Mpima,Wa 50 Annua access to housing 2500 2500 500 500 500 500 plots KMC 2500 Plots ya, 0 l land developmen created Sh|IDP_MAIN
351|Governance|Kabwe Municipal Council has a fundamental responsibility to establish an effective and efficient system of local government in the district and ensure the financial sustainability of the proposals in the IDP as well as creating a conducive environment that will facilitate inclusive economic growth and development.|IDP_MAIN
351|Governance|The Council has made a critical consideration of this inclusive economic growth that will reposition Kabwe as an investment destination of choice, enhance our industrial potential, diversifying the local economy and strengthening social services delivery while improving the status of the most vulnerable in our communities.|IDP_MAIN
351|Unknown|The IDP was also prepared to improve the efficiency of Local Authorities and other devolved service delivery institutions.|IDP_MAIN
353|Unknown|Kabwe Spatial Development Framework sets out the spatial vision and development priorities to achieve a reconfigured, inclusive spatial form for the district.|IDP_MAIN
