page|pillar|sub_programme|source_doc
138|Good Governance|Key Government Priorities Being and to Implemented at Local Level|IDP_MAIN
138|Good Governance|Number of Properties Registered and Issued with Occupancy Licenses|IDP_MAIN
139|Good Governance|Number of Registered Properties in each informal settlement|IDP_MAIN
140|Good Governance|Description of the Existing State|IDP_MAIN
140|Good Governance|Quality of Housing|IDP_MAIN
140|Good Governance|Kabwe Municipal Council, 2022|IDP_MAIN
141|Good Governance|Issues Arising Relating to Gender Groups and Vulnerable|IDP_MAIN
142|Good Governance|Municipal Parks and Recreation|IDP_MAIN
142|Good Governance|Key Government Priorities Being implemented and to implemented at local level|IDP_MAIN
142|Good Governance|Number of Community Facilities in the district|IDP_MAIN
143|Good Governance|Issues Arising from the Public Participation process|IDP_MAIN
143|Good Governance|Impact of Changes Anticipated over the next ten Years|IDP_MAIN
143|Good Governance|. Water and Sanitation|IDP_MAIN
144|Good Governance|.2 Water Supply|IDP_MAIN
145|Good Governance|,0000,7000 to 700,000 m3 per annum from 2015 to 2020 which is attributed mainly to|IDP_MAIN
146|Good Governance|Sanitation Situation|IDP_MAIN
146|Good Governance|,684 in 2010, 43,018 in 2015 and 48,350 in 2018 as indicated in the table below:|IDP_MAIN
147|Good Governance|Impact of the Continuation of Existing Trends on Population and Settlements|IDP_MAIN
148|Good Governance|Limited access to clean and safe • All peri urban/rural wards|IDP_MAIN
148|Good Governance|Poor sanitation (some • Peri urban/rural wards|IDP_MAIN
149|Good Governance|Environmental Sector|IDP_MAIN
149|Good Governance|and the National Forestry Policy of 2014.|IDP_MAIN
149|Good Governance|Afforestation and Reforestation|IDP_MAIN
149|Good Governance|. Pinus Kesiya 2, 500 3 2018 - Some trees died due to|IDP_MAIN
149|Good Governance|. Pinus Kesiya 435 1 2014 - Plantation was burnt|IDP_MAIN
149|Good Governance|. Khaya 247 1.2 2015 reduction of number of|IDP_MAIN
149|Good Governance|, 400 2 2007 - Growth of trees|IDP_MAIN
149|Good Governance|.Gmelina disturbed due to|IDP_MAIN
150|Good Governance|. Gmelina - Stand disturbed due to|IDP_MAIN
150|Good Governance|. Aborea. fires & illegal cutting of poles.|IDP_MAIN
150|Good Governance|Stand disturbed due to|IDP_MAIN
150|Good Governance|Forestry Extension and Service Delivery|IDP_MAIN
153|Good Governance|extract water at 120m3 per hour. The company was therefore, unable to abstract|IDP_MAIN
154|Good Governance|and 2018 and 8.25 percent in 2019 due to excision of part of Kabwe National|IDP_MAIN
156|Good Governance|High rate of deforestation. • All gazzeted forests (Kabwe, Chibanga, Kalulu)|IDP_MAIN
156|Good Governance|Uncontrolled bushfires. • All gazzeted forests (Kabwe, Chibanga, Kalulu)|IDP_MAIN
156|Good Governance|High rate of illegal • All gazzeted forests (Kabwe, Chibanga, Kalulu)|IDP_MAIN
157|Good Governance|Solid Waste Management|IDP_MAIN
157|Good Governance|Solid Waste Management Legislation|IDP_MAIN
157|Good Governance|. The Solid Waste Regulation and Management Act No 20 of 2018|IDP_MAIN
157|Good Governance|. The Local Government Act No 2 of 2019|IDP_MAIN
157|Good Governance|. The Public Health Act CAP 295|IDP_MAIN
157|Good Governance|. The Statutory Instrument NO 12 of 2018|IDP_MAIN
157|Good Governance|. The Environmental Management Act of 2011|IDP_MAIN
158|Good Governance|299,206 51,311,880|IDP_MAIN
158|Good Governance|329,816 52,791,045|IDP_MAIN
158|Good Governance|340,700 55,500,075|IDP_MAIN
158|Good Governance|387,947 59,077,221|IDP_MAIN
158|Good Governance|456,325 62,725,542|IDP_MAIN
158|Good Governance|Solid Waste Management Situation|IDP_MAIN
159|Good Governance|Keep Zambia Clean, Green and Healthy Campaign|IDP_MAIN
162|Good Governance|7 Law and Order|IDP_MAIN
162|Good Governance|Key Government Priorities Being Implemented and to Implemented at|IDP_MAIN
163|Good Governance|Inadequate Police • Muwowo East and West,David|IDP_MAIN
163|Good Governance|Justin Kabwe, Waya, Katondo, Kalonga|IDP_MAIN
163|Good Governance|Luangwa (Jasmine zone), Luansanse|IDP_MAIN
163|Good Governance|Kaputula, Ngungu (Manyoni area),|IDP_MAIN
163|Good Governance|Kangomba, Munga, Chinyanja|IDP_MAIN
163|Good Governance|Need to Upgrade Police post • Lukanga|IDP_MAIN
163|Good Governance|Need to complete police posts • Katondo, Magandanyama|IDP_MAIN
163|Good Governance|Inadequate office space at • Bwacha|IDP_MAIN
163|Good Governance|Inadequate staff houses for|IDP_MAIN
163|Good Governance|Summary of Issues and Concerns from the Public Participation Process|IDP_MAIN
164|Economic Transformation|.0 Introduction|IDP_MAIN
164|Economic Transformation|to 2033.The analysis of the core issues was done through a multi-sectorial|IDP_MAIN
164|Economic Transformation|.1 Overall Goal|IDP_MAIN
164|Economic Transformation|The strategic Outcomes of the KIDP|IDP_MAIN
165|Economic Transformation|Policies to Direct Development|IDP_MAIN
169|Economic Transformation|Economic Transformation and Job Creation|IDP_MAIN
170|Economic Transformation|Km damaged Kabwe Municipal|IDP_MAIN
171|Economic Transformation|50 10 10 10 10 10|IDP_MAIN
172|Economic Transformation|4 2 2 KMC, MLGRD|IDP_MAIN
174|Economic Transformation|2 0 1 1 0 0 MoA|IDP_MAIN
175|Economic Transformation|ICH convention Across the district 0 10 2 2 2 2 2|IDP_MAIN
178|Economic Transformation|7 1 1 2 2 1 MFL|IDP_MAIN
182|Economic Transformation|Human and Social Development|IDP_MAIN
183|Economic Transformation|100 20 20 20 20 20|IDP_MAIN
184|Economic Transformation|2,800 16,142 16,142 16,142 16,144 MOE|IDP_MAIN
186|Economic Transformation|- 2025- 2026- 2027-|IDP_MAIN
187|Economic Transformation|35 5 10 10 10 -|IDP_MAIN
189|Economic Transformation|Increase access to|IDP_MAIN
195|Economic Transformation|57 11 11 11 12 12|IDP_MAIN
196|Economic Transformation|boundary wall Chitakata B Health Post, 7 35 2 5 8 10 10 CDF|IDP_MAIN
196|Economic Transformation|35 15 20 stry of|IDP_MAIN
197|Economic Transformation|37 42 42 42 42 42|IDP_MAIN
198|Economic Transformation|% household Vector control All Health Facilities 42 42 42 42 42 42 42|IDP_MAIN
199|Economic Transformation|% 100 100 100 100 100 100|IDP_MAIN
200|Environmental Sustainability|Environmental Sustainability|IDP_MAIN
201|Environmental Sustainability|500 100 100 100 100 100 Forestry Department|IDP_MAIN
201|Environmental Sustainability|100 20 20 20 20 20 Forestry Department|IDP_MAIN
201|Environmental Sustainability|00 agroforestry|IDP_MAIN
201|Environmental Sustainability|10 fruit orchards|IDP_MAIN
201|Environmental Sustainability|45 9 9 9 9 9 Forestry Department|IDP_MAIN
202|Environmental Sustainability|25 5 5 5 5 5 Forestry Department|IDP_MAIN
202|Environmental Sustainability|200 40 40 40 40 40 Forestry Department|IDP_MAIN
202|Environmental Sustainability|,765 27,521 500 2021 25,000 Agriculture|IDP_MAIN
203|Environmental Sustainability|225 225 225 225 225 Forestry Department|IDP_MAIN
204|Environmental Sustainability|50 10 10 10 10 10 Forestry Department|IDP_MAIN
205|Good Governance|Good Governance Environment|IDP_MAIN
205|Good Governance|2024 2025 2026 2027|IDP_MAIN
207|Good Governance|1500 500 500 250 250|IDP_MAIN
207|Good Governance|households Kachulu, Water|IDP_MAIN
208|Good Governance|1 1 Fire and rescue|IDP_MAIN
209|Good Governance|1500 350 350 350 350 350 KMC|IDP_MAIN
210|Good Governance|SPATIAL DEVELOPMENT FRAMEWORK|IDP_MAIN
210|Good Governance|.1 Introduction|IDP_MAIN
211|Good Governance|Parameters to be considered in the spatial concepts|IDP_MAIN
211|Good Governance|Demographic factors:|IDP_MAIN
212|Good Governance|Stakeholder participation|IDP_MAIN
212|Good Governance|Spatial Development Models|IDP_MAIN
212|Good Governance|Urban Growth Management Model|IDP_MAIN
213|Good Governance|Approaches to action|IDP_MAIN
213|Good Governance|Improved Transportation System Model|IDP_MAIN
214|Good Governance|Rail line infrastructure strategy|IDP_MAIN
214|Good Governance|th century and continues to play an important role today. Kabwe district has a rail line|IDP_MAIN
215|Good Governance|tons/yr, lemons 5 tons/yr, chilli 1 ton/yr, tomato 10 tones/yr, pigs|IDP_MAIN
216|Good Governance|Bus routes Improvement|IDP_MAIN
218|Good Governance|km from the Kabwe Municipal Council Motel towards Fig Tree Café and passes through Mpima|IDP_MAIN
218|Good Governance|are illustrated in the Figure below. To cope with the traffic congestion anticipated in 2033,|IDP_MAIN
222|Good Governance|Environment Protection and Green Network Development Models|IDP_MAIN
224|Good Governance|Chosen Development Scenario|IDP_MAIN
225|Good Governance|Sustainable environmental, social and economic urban growth Model|IDP_MAIN
226|Good Governance|Land Use Planning Policies and Proposals to Improve, Maintain or Protect the|IDP_MAIN
227|Good Governance|Land Use Planning Policies and Proposals for Specific Protection Zones, Areas|IDP_MAIN
228|Good Governance|Land Use Planning Policies and Proposals for The Protection of National and|IDP_MAIN
229|Good Governance|). The area can be a significant tourist attraction with species of birds endemic only to the|IDP_MAIN
229|Good Governance|by the Prince of Wales to provide hydroelectric power to the Broken Hill|IDP_MAIN
230|Good Governance|Land Use Planning Policies and Proposals for Informal Settlements with A Description of|IDP_MAIN
232|Economic Transformation|Implementation Programme|IDP_MAIN
232|Economic Transformation|Capital Investment Programme|IDP_MAIN
233|Economic Transformation|km feeder Equipment, 150,000,000 Council and RDA|IDP_MAIN
233|Economic Transformation|undefined Entire district undefined KMC, NFRA|IDP_MAIN
234|Economic Transformation|KM encroached Kabwe Municipal/|IDP_MAIN
239|Economic Transformation|ICH Across the district stationery, art Tourism and Art,|IDP_MAIN
242|Economic Transformation|cold storage Entire District cold storage MFL|IDP_MAIN
244|Economic Transformation|,000 Council/KCCI ng partners|IDP_MAIN
252|Human And Social Development|N lab o o . r o a f t ories|IDP_MAIN
257|Human And Social Development|boreholes 150,000|IDP_MAIN
269|Human And Social Development|,000.00 MOH/GRZ|IDP_MAIN
269|Human And Social Development|,618,291.18 MOH/GRZ|IDP_MAIN
279|Human And Social Development|friendly spaces Resource, IEC OPERATING MoH, CP|IDP_MAIN
281|Environmental Sustainability|woodlots by resource|IDP_MAIN
281|Environmental Sustainability|agroforestry resource|IDP_MAIN
281|Environmental Sustainability|fruit orchards resource|IDP_MAIN
281|Environmental Sustainability|tree nurseries created|IDP_MAIN
290|Good Governance|FINANCIAL PLAN FOR THE PERIOD OF FIVE (5) YEARS - 2023 TO|IDP_MAIN
290|Good Governance|Development Process|IDP_MAIN
291|Good Governance|Forecast Background|IDP_MAIN
291|Good Governance|Revenue and Expenditure History|IDP_MAIN
292|Good Governance|2019 2020 2021 2022|IDP_MAIN
292|Good Governance|,943,476 22,943,476 25,677,438 28,435,888|IDP_MAIN
292|Good Governance|,069 515,069 574,879 514,487|IDP_MAIN
292|Good Governance|,497,889 1,497,889 1,076,090 2,391,122|IDP_MAIN
292|Good Governance|,301 285,301 265,681 235,748|IDP_MAIN
292|Good Governance|,190,487 2,190,487 9,211,500 13,121,613|IDP_MAIN
292|Good Governance|,488,808 1,488,808 1,213,587 16,196,460|IDP_MAIN
292|Good Governance|,466 24,466 67,016 89,540|IDP_MAIN
292|Good Governance|,500 69,500 283,355 91,923|IDP_MAIN
293|Good Governance|,484,411 543,429|IDP_MAIN
293|Good Governance|,015,000 1,148,730|IDP_MAIN
293|Good Governance|,986 742,986 372,688|IDP_MAIN
293|Good Governance|,752 743,752 950,601 508,163|IDP_MAIN
293|Good Governance|,309,652 44,309,652 45,493,093 66,084,268|IDP_MAIN
293|Good Governance|. Revenue and Expenditure Forecasts|IDP_MAIN
294|Good Governance|,576,976.00 2,788,288.03 2,991,833.06|IDP_MAIN
294|Good Governance|,000.00 108,200.00 116,098.60|IDP_MAIN
294|Good Governance|Programme for the Preparation of Local Area Plan|IDP_MAIN
294|Good Governance|Local Area Plan 2022|IDP_MAIN
296|Good Governance|MONITORING AND EVALUATION PLAN|IDP_MAIN
296|Good Governance|Precise/ well-defined: The indicator is not ambiguous so as to ensure|IDP_MAIN
296|Good Governance|Reliable: the indicator yields the same results on repeated trials attempts;|IDP_MAIN
296|Good Governance|Validity: the indicator measures what it intend to measure;|IDP_MAIN
296|Good Governance|Measurable: the indicator is measurable; if it cannot be measured, it is not a|IDP_MAIN
296|Good Governance|Practicable: The indicator is not be impractical to measure from a resource or|IDP_MAIN
296|Good Governance|Monitoring – Processes and Tools|IDP_MAIN
296|Good Governance|Monthly Reporting|IDP_MAIN
297|Good Governance|Quarterly Performance Reporting|IDP_MAIN
297|Good Governance|.4.4 Evaluation|IDP_MAIN
297|Good Governance|Development of Indicators|IDP_MAIN
298|Good Governance|M&E Lead Overall quality assurance of M&E Local District|IDP_MAIN
298|Good Governance|Data Develop databases Local M&E Lead|IDP_MAIN
298|Good Governance|Data Develop data collection and analysis Local Data Managers|IDP_MAIN
298|Good Governance|GIS expert Link the Development Framework Local Data manager|IDP_MAIN
299|Economic Transformation|Logical framework of Monitoring and Evaluation|IDP_MAIN
302|Economic Transformation|1 0 3 0 0 0 2 0 0 2 0 5 2 3 0 0 3 0 5|IDP_MAIN
302|Economic Transformation|M K L M G C R , D|IDP_MAIN
304|Economic Transformation|agriculture 3 29 0 2 4 5 6 3 3 3 3 3 3 of camp 8 MoA|IDP_MAIN
304|Economic Transformation|29 0 7 7 7 8 3 3 3 3 3 3|IDP_MAIN
305|Economic Transformation|2 5 20,764 1 0 1 0 5|IDP_MAIN
305|Economic Transformation|5 5 20,764 1 1 0 1 1 0 2 5|IDP_MAIN
305|Economic Transformation|0 20,764 1 0 1 0 5|IDP_MAIN
305|Economic Transformation|1 0 20,764 1 0 1 0 5|IDP_MAIN
305|Economic Transformation|2 1 0 20,764 2 0 2 0 5|IDP_MAIN
305|Economic Transformation|1 0 20,764 3 0 3 0 5|IDP_MAIN
305|Economic Transformation|1 5 20,764 4 0 4 0 5|IDP_MAIN
306|Economic Transformation|25 5 5 5 5 5 Number of Quarte MoA|IDP_MAIN
308|Economic Transformation|15 3 3 3 3 3 N vi u si m ts b d e o r ne o f Qtrly T|IDP_MAIN
308|Economic Transformation|30 5 5 5 5 10 N em um plo b y er e df Qtrly T|IDP_MAIN
309|Economic Transformation|ve 10 : To Im p|IDP_MAIN
309|Economic Transformation|d uc tion a nd p rodu ctivit y from by 2 02|IDP_MAIN
309|Economic Transformation|n i u c h d p e m a b b il e i r t s t a a p t n r e o a k d f y s MFL|IDP_MAIN
310|Economic Transformation|1 1 Abattoir in MFL|IDP_MAIN
311|Economic Transformation|1 1 Qtrly KMC/KCCI|IDP_MAIN
312|Economic Transformation|2 1 1 0 0 0 KMC|IDP_MAIN
312|Economic Transformation|20 4 4 4 4 Commerce,|IDP_MAIN
313|Economic Transformation|4 2 2 sensitizati GAME|IDP_MAIN
314|Economic Transformation|o w A ar l d l s 0 2 1 0 2 0 ,1 0 2 1 0 5 1 0 0 2 0 5 2 0 0 3 g|IDP_MAIN
317|Human And Social Development|900 100 200 200 200 200 constructc MOE|IDP_MAIN
317|Human And Social Development|100 10 20 10 20 10 rehabilitat goin|IDP_MAIN
318|Human And Social Development|1 and piped quar|IDP_MAIN
319|Human And Social Development|2 2 2 m blocks MOE|IDP_MAIN
319|Human And Social Development|0 0 0 0 1 0 0 0 0 1|IDP_MAIN
319|Human And Social Development|6 0 8 ,2 0 5 ,3 0 9 ,2 0 0 ,3 8 2 ,3 0 8 ,2 0 5 ,3 0 9 ,2 0 0 ,3 8 2 ,3 d|IDP_MAIN
319|Human And Social Development|2 2 2 1 1 Authority,|IDP_MAIN
320|Human And Social Development|145 29 29 29 29 29|IDP_MAIN
321|Human And Social Development|10 2 2 2 2 2 skip bins KMC, GRZ|IDP_MAIN
323|Human And Social Development|material quar Local|IDP_MAIN
325|Human And Social Development|boreholes terly|IDP_MAIN
337|Human And Social Development|29 29 29 29 29 29 29 29 29 Number of MOH/C|IDP_MAIN
337|Human And Social Development|42 42 42 42 42 42 42 42 42 42 42 meetings|IDP_MAIN
337|Human And Social Development|29 29 29 29 29 29 29 29 29 Number of|IDP_MAIN
340|Environmental Sustainability|30 10 10 10 conducted, Qtrly|IDP_MAIN
340|Environmental Sustainability|agroforestry 0 100 20 20 20 20 20|IDP_MAIN
341|Environmental Sustainability|10 2 2 2 2 2 nurseries|IDP_MAIN
342|Environmental Sustainability|2000 400 400 400 400 400 Qtrly Agriculture|IDP_MAIN
342|Environmental Sustainability|industries on No. of|IDP_MAIN
343|Environmental Sustainability|60 12 12 12 12 12|IDP_MAIN
343|Environmental Sustainability|x4 Land cruiser All Month Forestry|IDP_MAIN
344|Environmental Sustainability|290 58 58 58 58 58|IDP_MAIN
344|Environmental Sustainability|50 10 10 10 10 10 trainings|IDP_MAIN
344|Environmental Sustainability|0 0 ,0 2 0 0 ,4 0 0 0 ,4 0 0 0 ,4 0 0 0 ,4 0 0 0 ,4 0|IDP_MAIN
346|Good Governance|0 Plots ya, 0 l|IDP_MAIN
347|Good Governance|Registration Moomba, ,1 ,1 ,1 ,1 ,1|IDP_MAIN
349|Good Governance|4 1 1 1 1 1 constructe d|IDP_MAIN
